@relation sentimental-analizerTeste


@attribute texto string
@attribute quantAdjetivoPositivo numeric
@attribute quantAdjetivoNegativo numeric
@attribute quantVerboPositivo numeric
@attribute quantVerboNegativo numeric
@attribute classTeste {positivo, negativo, neutro}


@DATA
'MP: secretária de Temer integrou articulação criminosa | Brasil 24/7 https://t.co/ZusnjVaCfF https://t.co/lFmgVzS7FN\n&#3;',0,1,1,0,positivo
'Ahhhheee Mortadelas!!! 😡 https://t.co/M7rI39ropA\n&#3;',0,0,0,0,neutro
'Ahhhheee Mortadelas!!! 😡 https://t.co/M7rI39ropA\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas https://t.co/DpDuVpEkt5\n&#3;',0,0,0,0,neutro
'Oi? Isso é Ditadura ou não? https://t.co/nkZtJLRDn0\n&#3;',0,0,0,0,neutro
'A indicada Secretaria de Políticas para as mulheres  Fátima Pelae fez parte de articulação criminosa   https://t.co/zflvCE44D5\n&#3;',0,0,0,0,neutro
'@OGloboPolitica @BlogdoNoblat Coloca na mesma cela com Dilma e Lula. Vão ter muito assunto.\n&#3;',0,1,0,0,negativo
'Ou seja: tem que ter mulher  tem que ter negro  tem que ter homossexual  DESDE QUE concordem com idéias do PT. https://t.co/lVpEBVhkuC\n&#3;',0,0,0,0,neutro
'Jucá diz: tem q tirar Dilma p salvar a patota. O relator d process acha irrelevante. Ngm vá dizer depois q ñ sabia d golpe  q foi enganado!\n&#3;',0,2,1,0,positivo
'Painel: Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer... https://t.co/CbVFgh4ZNc via @folha_poder\n&#3;',0,0,1,0,positivo
'#ForaTemer #VoltaQuerida https://t.co/j8hcaN6Gtj\n&#3;',0,0,0,0,neutro
'RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/7g7cDyMjtM https://t.co/jGvo2OeEwQ #ArcangelAlvara…\n&#3;',0,0,0,0,neutro
'Contando os segundos! #ImpeachmentJá https://t.co/yT4Ra2yUQ7\n&#3;',0,0,0,0,neutro
'É a mudança que todos pediram...Alguém tem capacidade de defender isso????#EuNaoTenhoCulpaDisso #trouxinhas https://t.co/bnxaDs7Ui2\n&#3;',0,0,0,0,neutro
'Nestor Cerveró diz que Dilma sabia de tudo ao aprovar compra de Pasadena. Sabia Pol-PT recebiam propina da estatal. https://t.co/e99oWbBZVY\n&#3;',0,0,0,0,neutro
'Em contra partida  a nossa presidenta afastada Dilma  teve a coragem de reduzir o próprio salário para dar... https://t.co/s0f2jkjBTw\n&#3;',0,1,0,0,negativo
'Áudios que comprovam em detalhes que o golpe foi golpe não poderão estar na defesa da Dilma... https://t.co/tABI3fwCqA via @BLOGdoPEPE\n&#3;',0,0,0,0,neutro
'Prezado Presidente em exercício @MichelTemer   são 12 milhões de brasileiros desempregados. Não se esqueça de que o povo é quem vota.\n&#3;',2,1,1,0,positivo
'#ForaMulherSapiens https://t.co/WWflxHFHtC\n&#3;',0,0,0,0,neutro
'Anastasia nega pedido de Dilma para incluir áudios vazados: Requerimentos feitos pela defesa d... https://t.co/Fg9zwVu6Mf via @baroneprg\n&#3;',0,0,0,0,neutro
'Cddddd https://t.co/0Z9kRBUyJM\n&#3;',0,0,0,0,neutro
'Anastasia nega pedido de Dilma para incluir áudios vazados: Requerimentos feitos pela defesa da... https://t.co/4QS4AvcdLc via @horaabcd\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma mentiu sobre Pasadena: “Ela sabia de tudo” https://t.co/xWHsfeIvug via @veja\n&#3;',0,0,0,1,negativo
'RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/tGvSFx4aSI https://t.co/FvlmQd1Ylb #ArcangelAlvara…\n&#3;',0,0,0,0,neutro
'@ProfCharles2012 @MariaLeGomes @BethSaenger Os coxinhas só querem ver o barbudo na Papuda e Dilma internada em manicômio.\n&#3;',1,1,0,0,neutro
'#News Nestor Cerveró diz que Dilma sabia de tudo ao aprovar compra de Pasadena - https://t.co/ThQIoSVYyy https://t.co/70e5nUZpOZ\n&#3;',0,0,0,0,neutro
'A CRISE FORAM ELES QUE CRIAM PARA DAREM O GOLPE. DÉFICIT DE JANEIRO  GOV. DILMA 90 BILHÕES  E DE TEMER  170 BILHÕES https://t.co/VJkO4HpxlC\n&#3;',0,0,1,0,positivo
'A CRISE FORAM ELES QUE CRIAM PARA DAREM O GOLPE. DÉFICIT DE JANEIRO  GOV. DILMA 90 BILHÕES  E DE TEMER  170 BILHÕES https://t.co/VJkO4HpxlC\n&#3;',0,0,1,0,positivo
'Dilma Rousseffs Impeachment  Mortal Kombat X  Kim Kardashian and https://t.co/3zhlQRPfGr #brainboost #growthhackingmarketing #leadership\n&#3;',1,0,0,0,positivo
'Ministro sugere que servidores da CGU sem identificação com Temer deixem os cargos  https://t.co/Jnl8K3mVk1 via @Estadao\n&#3;',0,0,1,0,positivo
'Temer diz que ministro incriminado na Lava Jato deixará governo https://t.co/JYmkg0uQdO https://t.co/L3YIOCGxYk\n&#3;',0,0,2,0,positivo
'movimento azeitonista derruba governo temer e assume poder no Brasil  pib cresce 40%  desemprego desaparece  lula preso\n&#3;',0,1,2,0,positivo
'com Fátima Pelaes  a "Articulação Criminosa" de Temer aparelha todo o apodrecido governo golpista. https://t.co/dEV7ThZeMl\n&#3;',0,1,1,0,positivo
'com Fátima Pelaes  a "Articulação Criminosa" de Temer aparelha todo o apodrecido governo golpista. https://t.co/94jPgKzIRs\n&#3;',0,1,1,0,positivo
'Secretária de Temer integrou articulação criminosa  diz PGR - 03/06/2016 - Poder - Folha de S.Paulo https://t.co/giL5V4OOTG\n&#3;',0,1,1,0,positivo
'Ministro sugere que servidores da CGU sem identificação com Temer deixem os cargos  https://t.co/2JrBFRSJ9u via @Estadao\n&#3;',0,0,1,0,positivo
'Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/wceKT1Rvbm\n&#3;',0,0,0,0,neutro
'#Yaracuy ArcangelAlvarad: RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/AonGthyXGD …\n&#3;',0,0,0,0,neutro
'Dilma mentiu???? Nem desconfiava.... nunca imaginei que essas "gatinhas" pudessem mentir. https://t.co/pm6SAuVo53\n&#3;',0,0,1,1,neutro
'Uma central para temer? | Blog Junho https://t.co/DEpwH3a7xf via @blogjunho\n&#3;',0,0,1,0,positivo
'Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar https://t.co/F6sPclMdeM Isso é brincadeira???\n&#3;',0,0,1,0,positivo
'@sue_fcs @KlausDecort segue o vídeo do Guilherme Weber ontem no Jô Soares e o "FORA TEMER " KKKKhttps://t.co/m1oQl2LlZ4\n&#3;',0,0,1,0,positivo
'Bom dia primeiramente fora temer.\n&#3;',1,0,1,1,positivo
'@ptbrasil @romerojuca @dilmabr Queremos inclusão DOS áudios  JÁ  inclusive os q comprovam a obstrução d justiça na nomeação d Lula por Dilma\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas... https://t.co/G1QMKXOVUs\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas... https://t.co/J8v5HwYc1s\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas... https://t.co/OWGKCc3lB9\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas...... https://t.co/xVOG5zBsxD\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas...... https://t.co/clMtj3aisH\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas...... https://t.co/1F8HeFixlz\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas...... https://t.co/sdlEozKwTw\n&#3;',0,0,0,0,neutro
'Quer ver a morte do "liberalismo petista"? É só o Temer dar um cargo ao Fernando Holiday  negro e gay  do MBL! https://t.co/lVpEBVhkuC\n&#3;',1,0,1,0,positivo
'Quer ver a morte do "liberalismo petista"? É só o Temer dar um cargo ao Fernando Holiday  negro e gay  do MBL! https://t.co/lVpEBVhkuC\n&#3;',1,0,1,0,positivo
'#ForaTemer #VoltaQuerida https://t.co/HGqgYefvOV\n&#3;',0,0,0,0,neutro
'Cerveró diz que Dilma sabia de propina de Pasadena para petistas... https://t.co/J8v5HwYc1s https://t.co/QzMBDFt0lJ\n&#3;',0,0,0,0,neutro
'Segura essa!!Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar https://t.co/Uhg1AGzCkM #folha\n&#3;',1,0,1,0,positivo
'@Eunicio @EunicioSenador @MichelTemer O @MBLivre equivocou-se. Ontem na @GloboNews o Senador afirmou que a contagem passa dos 55 votos.\n&#3;',0,0,0,0,neutro
'Cerveró acusa Dilma de ter mentido sobre compra de refinaria de Pas | BLOG do ITAPUAN - contato@blogdoitapuan.com https://t.co/NRUiUSl71C\n&#3;',0,0,1,1,neutro
'Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar https://t.co/F6sPclMdeM Assim fica difícil!!\n&#3;',0,1,1,0,positivo
'TEMER com aquela cara de CAPÊTA DUZINFERNUS falou:O que Dilma fez vou DERRUBAR TUDINHO. https://t.co/5Vnd81MjO3\n&#3;',0,0,0,1,negativo
'TEMER com aquela cara de CAPÊTA DUZINFERNUS falou:O que Dilma fez vou DERRUBAR TUDINHO. https://t.co/5Vnd81MjO3\n&#3;',0,0,0,1,negativo
'@dilmabr @GLOBENEWSWEB https://t.co/MKiPYHwKTY\n&#3;',0,0,0,0,neutro
'Min Bruno Araújo: Dilma Passou Cheque sem fundo MCMV.\n&#3;',0,1,0,0,negativo
'Lula e Dilma que o digam..Como esta a velha obra interminável da transposição senador? Pra quando  2010? Conta outra https://t.co/T9dEkMGqLQ\n&#3;',0,1,0,0,negativo
'Folha: Temer se põe de costas para a sociedade | Brasil 24/7 https://t.co/TjbQFir4fv via @brasil247\n&#3;',0,0,1,0,positivo
'aula da dilma agora  me diz o que eu fiz pra merecer\n&#3;',0,0,0,0,neutro
'Michelzinho  filho caçula de Temer  tem R$ 2 milhões em imóveis https://t.co/k4Rq7r8Z0h\n&#3;',0,1,1,0,positivo
'EXCLUSIVO! O QUE MUITOS TEMIAM (DO VERBO TEMER) ESTÁ ACONTECENDO! LAVA JATO TRAVA EM BRASÍLIA  MAS DÁ EXEMPLO... https://t.co/zBbjBwUrSk\n&#3;',0,0,1,1,neutro
'@dilmabr https://t.co/MKiPYHwKTY\n&#3;',0,0,0,0,neutro
'Manifestantes fazem ato pró-Dilma e contra Temer no Centro do Rio #G1 https://t.co/omzdqwQPTs\n&#3;',0,0,1,0,positivo
'Manifestantes fazem ato pró-Dilma e contra Temer no Centro do Rio #G1 https://t.co/omzdqwQPTs\n&#3;',0,0,1,0,positivo
'E agora @Sen_Cristovam @RomarioOnze @acirgurgacz? Ainda estão em dúvida? #passadilma #ImpeachmentJá https://t.co/RC7fgs2Ioc\n&#3;',0,0,0,0,neutro
'Olhaí. -> Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar https://t.co/kXdfEj2K89 #folha\n&#3;',0,0,1,0,positivo
'ESSE #SENADOR É UM BRINCALHÃO #MENTIROSO. SERÁ QUE ELE ESTÁ NO LUGAR CERTO? BOICOTE #GERAL NO #PT NAS #ELEIÇÕES. https://t.co/Q6xcc3vAt8\n&#3;',2,0,0,0,positivo
'ESSE #SENADOR É UM BRINCALHÃO #MENTIROSO. SERÁ QUE ELE ESTÁ NO LUGAR CERTO? BOICOTE #GERAL NO #PT NAS #ELEIÇÕES. https://t.co/Q6xcc3vAt8\n&#3;',2,0,0,0,positivo
'@dilmabr @ArmandoPTB PT deixou chegar a esse ponto porque.FHC : Não sabem governar\n&#3;',0,0,0,0,neutro
'@UOLNoticias @GloboNews @correio @portalR7 @SBTonline  https://t.co/jj8AC4OVIy\n&#3;',0,0,0,0,neutro
'O que diz o jornal golpista que "elegeu" Temer: "Temer aplaude a decisão de promover aumento bilionário de gastos estatais"\n&#3;',0,2,2,0,positivo
'Primeiramente  Fora Temer!#temergolpista#dilmafica https://t.co/viwGH6Le7E\n&#3;',0,0,0,1,negativo
'@CBNoficial @jornaldacbn @BomDiaBrasil Michelzinho: Será que o @MichelTemer usa o nome de uma criança para lavar dinheiro roubado?\n&#3;',0,1,0,1,negativo
'Bom  comentando o impeachment. Dilma reverteu votos? Então porque prolongar como quer os chupetinhas?\n&#3;',1,0,0,0,positivo
'@Mteixeira1952 Ex Min de Dilma e atual de Temer  Kassab defende sua gestão:  total sintonia com  limites orçamentários/ financeiros vigentes\n&#3;',0,0,1,0,positivo
'@Mteixeira1952 Ex Min de Dilma e atual de Temer  Kassab defende sua gestão:  total sintonia com  limites orçamentários/ financeiros vigentes\n&#3;',0,0,1,0,positivo
'Desgoverno Dilma é feito por mulheres velhas  feias e ladras ... https://t.co/XbQSivBn0J\n&#3;',0,3,0,0,negativo
'Desgoverno Dilma é feito por mulheres velhas  feias e ladras ... https://t.co/XbQSivBn0J\n&#3;',0,3,0,0,negativo
'@BlogdoNoblat  Dilma daria foro privilegiado a Lula.  O PMDB armava para acabar com a LavaJato. São coisas bem diferentes  não?\n&#3;',3,0,0,1,positivo
'Temer admite recorrer à CPMF e estabelecer idade mínima em aposentadorias https://t.co/9Mnzpm8Yfp Dr @micheltemer  V.Exª. é interino  ainda!\n&#3;',0,0,1,0,positivo
'Sen vamos enfrente para acelerar este impeachment deste governo ilegítimo 11 milhões desemprego #OlimpiadasSemDilma  https://t.co/sqr6HcB3Ny\n&#3;',0,1,1,0,positivo
'Bom dia. twitteros! E o Temer  já caiu?\n&#3;',1,0,1,1,positivo
'Temer admite recorrer à CPMF e estabelecer idade mínima em aposentadorias via @UOLNoticias @UOL  https://t.co/vjvKeBYvuU\n&#3;',0,0,1,0,positivo
'saco frouxo. https://t.co/nHBYE20OA5\n&#3;',0,1,0,0,negativo
'RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/w0kIiqM47N https://t.co/WqdZeoIRDV\n&#3;',0,0,0,0,neutro
'RT @Estadao: Ministro sugere que servidores da CGU sem identificação com Temer deixem os... https://t.co/5cxZ1b3Xcv via @chico_dangelo\n&#3;',0,0,1,0,positivo
'EBC Temer admite incluir idade mínima para aposentadoria na reforma da Previdência EBC O presidente da República… https://t.co/RCtnehV6Rx\n&#3;',0,0,1,0,positivo
'"Precisamos cortar cargos comissionados  diminuir a máquina pública..." https://t.co/fsz9QEORku\n&#3;',0,0,0,1,negativo
'@misabelmelo1 Olha a articulação criminosa que você protege e ama. Que vergonha...https://t.co/dEV7ThZeMl\n&#3;',0,1,1,0,positivo
'#deixaotemergovernar @UOLNoticias https://t.co/jhOqdg90mb\n&#3;',0,0,0,0,neutro
'@maria_lima qual o problema de ser rico  branco   homem  velho??Dilma racista! Preconceituosa! @dilmabr tu é a escória!! Vergonha da nação !\n&#3;',1,2,0,0,negativo
'@dilmabr IMORALIDADE É DETONAR O PAÍS COMO ESSA SENHORA FEZ-https://t.co/MKiPYHwKTY\n&#3;',0,0,0,0,neutro
'Guilherme Weber  no Jô: “ultimamente  Fora Temer”. Assista https://t.co/oi54Rb1AyO via @tijolaco\n&#3;',0,0,0,1,negativo
'Haha não dá pra entender as pessoas...elas queriam porque queriam tirar a Dilma  agora querem tirar o Temer HAHAHA...virou Big Brother?\n&#3;',0,0,1,0,positivo
'Haha não dá pra entender as pessoas...elas queriam porque queriam tirar a Dilma  agora querem tirar o Temer HAHAHA...virou Big Brother?\n&#3;',0,0,1,0,positivo
'A 1a notícia: Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar https://t.co/J9A7qd50Ox #folha\n&#3;',0,0,1,0,positivo
'O Brasil  país onde a presidenta afastada é aclamada em praça pública e o interino se esconde. Mas não é golpe. https://t.co/ngB5y4nCdp\n&#3;',1,0,0,1,positivo
'Mermão eu tenho vontade de baixa a porrada nesse senador idiota  ladrao corrupto e mal caráter!!! https://t.co/IdEdvrxlHU\n&#3;',0,0,0,0,neutro
'Mermão eu tenho vontade de baixa a porrada nesse senador idiota  ladrao corrupto e mal caráter!!! https://t.co/IdEdvrxlHU\n&#3;',0,0,0,0,neutro
'#Yaracuy #ArcangelAlvarado RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/1aNk1o69dG …\n&#3;',0,0,0,0,neutro
'Temer admite recorrer à CPMF e estabelecer idade mínima em aposentadorias https://t.co/9Mnzpm8Yfp @micheltemer a França parou por isso !!!\n&#3;',0,0,1,0,positivo
'ACESSE https://t.co/al1jiQGCALLEIA  CURTA E DIVULGUE: Complô contra Dilma envolveu políticos e o STF https://t.co/UmNAVX3ZES\n&#3;',1,0,0,0,positivo
'O Antagonista - Dilma disse que "cuidaria dos meninos" https://t.co/oQjTmWqAcb\n&#3;',0,0,0,0,neutro
'O @MichelTemer tem a obrigação de abrir a caixa preta do BNDES. O PT transformou a instituição em caixa da quadrilha. É demais.\n&#3;',0,0,0,0,neutro
'Parece que muitos não querem aceitar isso. Já reparou ? https://t.co/r6aZbh43Xk\n&#3;',0,0,0,0,neutro
'E pensar que ainda tem jente cega. https://t.co/PSXxhV4iFJ\n&#3;',0,1,0,0,negativo
'Há outras formas de resistir  bem mais efetiva: Quatro meses após à reeleição de Dilma Rousseff  os derrotado... https://t.co/DugvUw3zwi\n&#3;',0,1,0,0,negativo
'Por essa e outras q temos q forçar o Legislativo a se submeter a um controle maior. Não podem tudo e qd quiserem https://t.co/art2kAY9Pi\n&#3;',0,0,1,0,positivo
'Governanta  mordomo e a irresponsabilidade de aumento de despesa de um governo quebrado. Tudo a temer. https://t.co/cNOVSrxHQY\n&#3;',0,1,1,0,positivo
'Tropa de choque de temer/CUNHA na Câmara cria 14 mil cargos federais ao invés de de cortar 4 mil que prometeu... https://t.co/efCpLjTbH0\n&#3;',0,0,0,1,negativo
'Só até derrubar PMDB e Aécio na minha imprensa  Dilma/Temer no TSE do Gilmar e ser eleito no Congresso em 2017. Rá! https://t.co/cx7AiidRXK\n&#3;',0,0,0,1,negativo
'Só até derrubar PMDB e Aécio na minha imprensa  Dilma/Temer no TSE do Gilmar e ser eleito no Congresso em 2017. Rá! https://t.co/cx7AiidRXK\n&#3;',0,0,0,1,negativo
'Caros Amigos - Professores da Unicamp decidem por greve e incluem “Fora Temer” em reivindicações https://t.co/sESNbdZryE\n&#3;',1,0,0,0,positivo
'Temer dará Min. da Ciência a bispo da Universal e já cogita goleiro Bruno no Min. das Mulheres https://t.co/2lo19puuvv via @Sensacionalista\n&#3;',0,1,1,0,positivo
'Ops! Controvérsia do nosso presidente interino Michel Temer  seis tão fudidooo  lembra que falei que o Brasil não... https://t.co/YE6YwFrvur\n&#3;',0,0,1,0,positivo
'20 British Parliamentarians Reject the Coup in Brazil: Guardian Letters.https://t.co/15KZWMY990 https://t.co/QKuaVVcrYK\n&#3;',0,0,0,0,neutro
'Há outras formas de resistir  bem mais efetiva: Quatro meses após à reeleição de Dilma Rousseff  os derrotado...... https://t.co/vNB9iOXg2R\n&#3;',0,1,0,0,negativo
'La corrupción tiene a Dilma contra la pared.\n&#3;',0,0,0,0,neutro
'Eu quero banho de xero  eu quero banho de lua... Vai ser o Arraiá do fora TEMER!!!\n&#3;',0,0,1,1,neutro
'ForoCandanga: RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/iDA0unG0Ky https://t.co/jkyW4jpkio\n&#3;',0,0,0,0,neutro
'Altamiro Borges: Complô contra Dilma envolveu políticos e STF https://t.co/hUJXqewyHA\n&#3;',0,0,0,0,neutro
'michel temer quer 100 bilhões do bnds  eis a primeira pedalada que volta a ser legal no Brasil\n&#3;',1,0,1,0,positivo
'Comissão reduz de 15 para 5 dias prazo da defesa da presidenta eleita @dilmabr  mas senadores vão recorrer https://t.co/4zX5h7Rr52\n&#3;',0,1,0,0,negativo
'Sutileza de um pé na porta.... https://t.co/KH0yYgPKOs …\n&#3;',0,0,0,0,neutro
'#Mundo Rousseff busca apoyo de mujeres contra Temer en acto callejero en Brasil https://t.co/G0PoY2ClUE\n&#3;',0,0,1,0,positivo
'Opera Mundi - O que há na Justiça contra Michel Temer? https://t.co/aop4tc9Ebe via @operamundi\n&#3;',0,0,1,0,positivo
'Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar https://t.co/1Lfpm92ChX\n&#3;',0,0,1,0,positivo
'Opera Mundi - O que há na Justiça contra Michel Temer? https://t.co/FkDlu9PROk via @operamundi\n&#3;',0,0,1,0,positivo
'Vamos ter cuidado com o Cardoso torcendo q Dilma continue no comando para q ela atrapalhe as investigação da lava jato ou seja alguma coisa\n&#3;',1,0,1,0,positivo
'emirsader: RT brasil247: TRE de SP confirma: Temer é ficha-suja e está inelegível | Brasil 24/7 https://t.co/ehNJjJwJpJ via brasil247\n&#3;',0,1,1,0,positivo
'Tem gente que vota neste lixo. https://t.co/jv75MJy42t\n&#3;',0,0,1,1,neutro
'Tem gente que vota neste lixo. https://t.co/jv75MJy42t\n&#3;',0,0,1,1,neutro
'Análise: Meta fiscal de Temer deixa espaço para bondades políticas https://t.co/3JP9ZYctBO\n&#3;',0,0,1,0,positivo
'@BomDiaBrasil @cbnrio Michelzinho: Será que o @MichelTemer usa o nome de uma criança para lavar dinheiro roubado?\n&#3;',0,1,0,1,negativo
'@MichelTemer @Tom_brz Presidente  o povo está contigo  mas  pare com o toma lá dá cá  esse reajuste é uma cusparada na nossa cara.\n&#3;',0,0,0,0,neutro
'BOM DILMA BRASIL\n&#3;',1,0,0,0,positivo
'Bom dia. Cerveró diz em delação premiada que #Dilma mentiu sobre compra de Pasadenahttps://t.co/g7MB7O0ZPi\n&#3;',2,0,0,1,positivo
'Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar -... https://t.co/7aDRdqgAEk\n&#3;',0,0,1,0,positivo
'Nestor Cervero assistiu PORTA DOS FUNDOS. Aprendeu q tem q acusar a Dilma para ficar solto....\n&#3;',0,0,1,1,neutro
'@adilsonjr11 Olha a articulação criminosa do seu presidente golpista. Essa foto te representa mesmo: https://t.co/dEV7ThZeMl\n&#3;',0,2,0,0,negativo
'@BlogdoNoblat A Dilma tinha acordo com a justiça  Cunha e tudo o que nao presta que ia para a Lava-jato se o Lula fosse ministro?\n&#3;',1,0,0,0,positivo
'As instituições estão funcionando etc https://t.co/4LBD62AC8H\n&#3;',0,0,0,0,neutro
'Temer admite recorrer à CPMF e idade mínima em aposentadorias https://t.co/9Mnzpm8Yfp @micheltemer o Brasil vai parar se isso acontecer!!!\n&#3;',0,0,1,0,positivo
